시점,월별,시도별,사고건수,사망자수,부상자수
2009,전체,인천,11009,186,17074
2009,전체,광주,9222,121,14761
2009,전체,대전,6004,132,9697
2009,전체,울산,5254,116,7899
2009,전체,경기,43405,1078,71011
2009,전체,강원,9503,287,16560
2009,전체,충북,8582,272,14366
2009,전체,충남,8792,503,14803
2009,전체,전북,10620,401,17244
2009,전체,전남,11253,485,19103
2009,전체,경북,16784,689,26098
2009,전체,경남,15118,538,22878
2009,전체,제주,3630,63,5676
2009,1월,서울,3111,52,4839
2009,1월,부산,991,16,1413
2009,1월,대구,1023,15,1562
2009,1월,인천,766,10,1250
2009,1월,광주,676,5,1145
2009,1월,대전,404,11,639
