시점,월별,요일별,도로종류별,사고건수,사망자수,부상자수
2006,전체,월,시도,7926,185,11652
2006,전체,월,군도,1197,65,1694
2006,전체,월,고속국도,511,72,1077
2006,전체,월,기타/불명,886,16,1266
2006,전체,화,일반국도,4962,249,8432
2006,전체,화,지방도,2361,137,3609
2006,전체,화,특별광역시도,12034,189,17724
2006,전체,화,시도,7944,161,11766
2006,전체,화,군도,1229,58,1705
2006,전체,화,고속국도,458,73,1145
2006,전체,화,기타/불명,1019,14,1459
2006,전체,수,일반국도,4910,285,8431
2006,전체,수,지방도,2255,124,3564
2006,전체,수,특별광역시도,12496,186,18341
2006,전체,수,시도,8312,174,12350
2006,전체,수,군도,1198,57,1690
2006,전체,수,고속국도,455,55,1050
2006,전체,수,기타/불명,944,17,1272
2006,전체,목,일반국도,4747,292,8211
2006,전체,목,지방도,2231,109,3576
2006,전체,목,특별광역시도,12201,175,18022
2006,전체,목,시도,8175,170,12142
2006,전체,목,군도,1135,59,1554
2006,전체,목,고속국도,458,69,971
2006,전체,목,기타/불명,986,14,1361
2006,전체,금,일반국도,5211,297,9380
2006,전체,금,지방도,2372,145,3840
2006,전체,금,특별광역시도,12850,189,19192
2006,전체,금,시도,8771,183,13083
2006,전체,금,군도,1300,59,1833
2006,전체,금,고속국도,583,42,1432
2006,전체,금,기타/불명,1049,13,1532
2006,전체,토,일반국도,5647,284,10914
2006,전체,토,지방도,2490,147,4222
2006,전체,토,특별광역시도,13572,200,21246
2006,전체,토,시도,8655,191,13889
2006,전체,토,군도,1392,66,2222
2006,전체,토,고속국도,748,74,2183
2006,전체,토,기타/불명,1039,16,1587
2006,1월,일,일반국도,409,23,873
2006,1월,일,지방도,158,7,299
2006,1월,일,특별광역시도,759,8,1374
2006,1월,일,시도,521,12,894
2006,1월,일,군도,69,1,110
2006,1월,일,고속국도,48,3,170
2006,1월,일,기타/불명,80,1,128
2006,1월,월,일반국도,384,27,674
2006,1월,월,지방도,164,4,266
2006,1월,월,특별광역시도,878,12,1353
2006,1월,월,시도,624,10,982
2006,1월,월,군도,82,5,145
2006,1월,월,고속국도,43,6,100
2006,1월,월,기타/불명,85,4,129
2006,1월,화,일반국도,419,25,726
2006,1월,화,지방도,214,15,299
2006,1월,화,특별광역시도,1024,12,1571
2006,1월,화,시도,675,8,995
2006,1월,화,군도,82,2,129
2006,1월,화,고속국도,30,1,91
2006,1월,화,기타/불명,117,0,188
2006,1월,수,일반국도,317,18,538
2006,1월,수,지방도,127,7,189
2006,1월,수,특별광역시도,766,11,1119
2006,1월,수,시도,510,11,799
2006,1월,수,군도,81,2,120
2006,1월,수,고속국도,32,5,67
2006,1월,수,기타/불명,76,2,101
2006,1월,목,일반국도,315,15,602
2006,1월,목,지방도,130,6,198
2006,1월,목,특별광역시도,816,16,1216
2006,1월,목,시도,548,7,804
2006,1월,목,군도,65,8,89
